model,DR,FA,SP,PR,ACC,F1,AUC,printed_page,pdf_page
FC-SAE,81,15,85,81,83,81,81,4116,11
LSTM-SAE,85,13,87,85,86,85,82,4116,11
FC-VAE,88,11,89,89,88.5,88.5,85,4116,11
LSTM-VAE,91,7,93,91,92,91,86,4116,11
LSTM-AEA,94,5,95,93,94.5,93.5,90,4116,11
Naive Bayes,73,18,82,73,77.5,73,70,4116,11
ARIMA,86,12,88,86,87,86,87,4116,11
Single-class SVM,90,9,91,89,90.5,89.5,87,4116,11
Feed forward,90,11,89,89,89.5,89.5,88,4116,11
LSTM,90.5,10,90,89.5,90,90,89,4116,11
Multi-class SVM,91,8,92,90,91.5,90.5,89,4116,11
