model,metric,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,average,printed_page,pdf_page
FC-SAE,DR,82.5,81,83,80,80,80,81,4116,11
FC-SAE,FA,15,16,10,17,17,19,15.5,4116,11
LSTM-SAE,DR,84.5,83,90,82,84,83,84.5,4116,11
LSTM-SAE,FA,13,15,9,14,14,14,13,4116,11
FC-VAE,DR,86,85,93,88,88,87,88,4116,11
FC-VAE,FA,11,12,8,10,11,12,10.5,4116,11
LSTM-VAE,DR,88.5,88,95,91,91,90,90.5,4116,11
LSTM-VAE,FA,7.5,8,4.5,8,8.5,8.5,7.5,4116,11
LSTM-AEA,DR,94,93,97,94,94,93,94,4116,11
LSTM-AEA,FA,3.5,4,2.5,6.5,5.5,6.5,5,4116,11
