model,metric,p0,p10,p20,p30
aea,DR,94.1,90.2,85.8,80.8
aea,FA,5.2,9.2,13.5,18.4
aea,SP,94.8,90.8,86.5,81.6
aea,PR,94.5,90.3,85.2,80.6
aea,ACC,94.4,90.5,86.1,81.2
aea,F1,94.3,90.2,85.5,80.7
aea,AUC,94.0,90.1,85.9,80.3
ensemble_averaging,DR,94.6,91.3,87.1,81.3
ensemble_averaging,FA,4.8,8.6,12.9,17.8
ensemble_averaging,SP,95.2,91.4,87.1,82.2
ensemble_averaging,PR,94.9,91.1,87.1,81.8
ensemble_averaging,ACC,94.9,91.3,87.1,81.7
ensemble_averaging,F1,94.7,91.2,87.1,81.5
ensemble_averaging,AUC,94.6,91.2,87.0,81.4
sequential_ensemble,DR,95.2,94.3,93.3,92.2
sequential_ensemble,FA,2.9,3.7,4.7,5.8
sequential_ensemble,SP,97.1,96.3,95.3,94.2
sequential_ensemble,PR,95.6,95.0,94.3,92.7
sequential_ensemble,ACC,96.1,95.3,94.3,93.2
sequential_ensemble,F1,95.4,94.6,93.8,92.4
sequential_ensemble,AUC,97.4,95.2,93.1,92.0
